Name	Chr	Start	Stop	Up	Down	size
chrI: 21850-24000	chrI	21850.0	24000.0	YAL064W	YAL063C	2150.0
chrI: 27968-31567	chrI	27968.0	31567.0	YAL063C	YAL062W	3599.0
chrI: 32940-35155	chrI	32940.0	35155.0	YAL062W	YAL060W	2215.0
chrI: 36303-36509	chrI	36303.0	36509.0	YAL060W	YAL059W	206.0
chrI: 37147-37464	chrI	37147.0	37464.0	YAL059W	YAL058W	317.0
chrI: 38972-39259	chrI	38972.0	39259.0	YAL058W	YAL056W	287.0
chrI: 41901-42177	chrI	41901.0	42177.0	YAL056W	YAL055W	276.0
chrI: 42719-42881	chrI	42719.0	42881.0	YAL055W	YAL054C	162.0
chrI: 45022-45899	chrI	45022.0	45899.0	YAL054C	YAL053W	877.0
chrI: 48250-48564	chrI	48250.0	48564.0	YAL053W	YAL051W	314.0
chrI: 51707-51855	chrI	51707.0	51855.0	YAL051W	YAL049C	148.0
chrI: 52595-52801	chrI	52595.0	52801.0	YAL049C	YAL048C	206.0
chrI: 54789-54989	chrI	54789.0	54989.0	YAL048C	YAL047C	200.0
chrI: 56857-57029	chrI	56857.0	57029.0	YAL047C	YAL046C	172.0
chrI: 57385-57950	chrI	57385.0	57950.0	YAL046C	YAL044C	565.0
chrI: 58462-58695	chrI	58462.0	58695.0	YAL044C	YAL043C	233.0
chrI: 61052-61316	chrI	61052.0	61316.0	YAL043C	YAL042W	264.0
chrI: 62563-62840	chrI	62563.0	62840.0	YAL042W	YAL041W	277.0
chrI: 65404-65778	chrI	65404.0	65778.0	YAL041W	YAL040C	374.0
chrI: 67520-68716	chrI	67520.0	68716.0	YAL040C	YAL039C	1196.0
chrI: 69525-71786	chrI	69525.0	71786.0	YAL039C	YAL038W	2261.0
chrI: 73288-75043	chrI	73288.0	75043.0	YAL038W	YAL036C	1755.0
chrI: 76152-76427	chrI	76152.0	76427.0	YAL036C	YAL035W	275.0
chrI: 79435-79718	chrI	79435.0	79718.0	YAL035W	YAL034W-A	283.0
chrI: 80587-80710	chrI	80587.0	80710.0	YAL034W-A	YAL034C	123.0
chrI: 81951-82706	chrI	81951.0	82706.0	YAL034C	YAL033W	755.0
chrI: 83227-83335	chrI	83227.0	83335.0	YAL033W	YAL032C	108.0
chrI: 84474-84749	chrI	84474.0	84749.0	YAL032C	YAL031C	275.0
chrI: 87031-87286	chrI	87031.0	87286.0	YAL031C	YAL030W	255.0
chrI: 87752-87855	chrI	87752.0	87855.0	YAL030W	YAL029C	103.0
chrI: 92270-92900	chrI	92270.0	92900.0	YAL029C	YAL028W	630.0
chrI: 94486-94687	chrI	94486.0	94687.0	YAL028W	YAL027W	201.0
chrI: 95472-95630	chrI	95472.0	95630.0	YAL027W	YAL026C	158.0
chrI: 99697-100225	chrI	99697.0	100225.0	YAL026C	YAL025C	528.0
chrI: 101145-101565	chrI	101145.0	101565.0	YAL025C	YAL024C	420.0
chrI: 105872-106272	chrI	105872.0	106272.0	YAL024C	YAL023C	400.0
chrI: 108551-108877	chrI	108551.0	108877.0	YAL023C	YAL022C	326.0
chrI: 110430-110846	chrI	110430.0	110846.0	YAL022C	YAL021C	416.0
chrI: 113359-113614	chrI	113359.0	113614.0	YAL021C	YAL020C	255.0
chrI: 114615-114919	chrI	114615.0	114919.0	YAL020C	YAL019W	304.0
chrI: 118314-120225	chrI	118314.0	120225.0	YAL019W	YAL017W	1911.0
chrI: 124295-124879	chrI	124295.0	124879.0	YAL017W	YAL016W	584.0
chrI: 126786-126903	chrI	126786.0	126903.0	YAL016W	YAL015C	117.0
chrI: 128102-128252	chrI	128102.0	128252.0	YAL015C	YAL014C	150.0
chrI: 129019-129270	chrI	129019.0	129270.0	YAL014C	YAL013W	251.0
chrI: 130487-130799	chrI	130487.0	130799.0	YAL013W	YAL012W	312.0
chrI: 131983-132199	chrI	131983.0	132199.0	YAL012W	YAL011W	216.0
chrI: 134076-134184	chrI	134076.0	134184.0	YAL011W	YAL010C	108.0
chrI: 135665-135854	chrI	135665.0	135854.0	YAL010C	YAL009W	189.0
chrI: 136633-136914	chrI	136633.0	136914.0	YAL009W	YAL008W	281.0
chrI: 137510-137698	chrI	137510.0	137698.0	YAL008W	YAL007C	188.0
chrI: 138345-139503	chrI	138345.0	139503.0	YAL007C	YAL005C	1158.0
chrI: 141431-142174	chrI	141431.0	142174.0	YAL005C	YAL003W	743.0
chrI: 143160-143707	chrI	143160.0	143707.0	YAL003W	YAL002W	547.0
chrI: 147531-147594	chrI	147531.0	147594.0	YAL002W	YAL001C	63.0
chrI: 151166-152257	chrI	151166.0	152257.0	YAL001C	YAR002W	1091.0
chrI: 153876-154065	chrI	153876.0	154065.0	YAR002W	YAR002C-A	189.0
chrI: 154724-155005	chrI	154724.0	155005.0	YAR002C-A	YAR003W	281.0
